"date","time","size","r_version","r_arch","r_os","package","version","country","ip_id"
"2018-12-01","08:53:23",57822,"3.5.1","x86_64","mingw32","snfa","0.0.1","US",835
"2018-12-01","04:29:18",57816,"3.5.1","x86_64","darwin15.6.0","snfa","0.0.1","CA",1887
"2018-12-01","01:20:40",57816,"3.5.1","x86_64","mingw32","snfa","0.0.1","JP",4709
"2018-12-01","13:07:23",57816,"3.4.3","x86_64","mingw32","snfa","0.0.1","JP",845
"2018-12-01","01:00:12",515,NA,NA,NA,"snfa","0.0.1","US",7016
"2018-12-01","01:00:12",57826,NA,NA,NA,"snfa","0.0.1","US",7016
"2018-12-01","00:30:13",505,NA,NA,NA,"snfa","0.0.1","US",7016
"2018-12-01","00:30:13",57816,NA,NA,NA,"snfa","0.0.1","US",7016
"2018-12-01","00:40:11",514,NA,NA,NA,"snfa","0.0.1","US",7016
"2018-12-01","00:40:11",57825,NA,NA,NA,"snfa","0.0.1","US",7016
"2018-12-01","00:50:17",515,NA,NA,NA,"snfa","0.0.1","US",7016
"2018-12-01","00:50:18",57826,NA,NA,NA,"snfa","0.0.1","US",7016
"2018-12-02","17:23:58",83725,"3.6.0","x86_64","linux-gnu","snfa","0.0.1","JP",1171
"2018-12-02","08:33:14",83725,"3.5.1","x86_64","mingw32","snfa","0.0.1","IL",13370
"2018-12-03","02:49:55",83725,"3.4.4","x86_64","linux-gnu","snfa","0.0.1","CN",4283
"2018-12-03","02:40:48",83725,"3.4.4","x86_64","linux-gnu","snfa","0.0.1","JP",3760
"2018-12-03","10:27:57",83725,"3.4.4","x86_64","mingw32","snfa","0.0.1","US",18629
"2018-12-03","05:09:07",83725,"3.5.1","x86_64","mingw32","snfa","0.0.1","PH",9121
"2018-12-03","20:17:41",83731,"3.4.1","x86_64","linux-gnu","snfa","0.0.1","CR",6871
"2018-12-03","19:43:20",83731,"3.5.1","x86_64","mingw32","snfa","0.0.1",NA,3
"2018-12-03","14:57:19",83725,"3.3.2","x86_64","darwin13.4.0","snfa","0.0.1","FR",4326
"2018-12-03","16:13:01",83725,"3.3.0","x86_64","mingw32","snfa","0.0.1","FR",1463
