DATE,CLF16OV
1948-01-01,60635
1949-01-01,61395
1950-01-01,62122
1951-01-01,62017
1952-01-01,62153
1953-01-01,63056
1954-01-01,63672
1955-01-01,64964
1956-01-01,66537
1957-01-01,66942
1958-01-01,67670
1959-01-01,68359
1960-01-01,69659
1961-01-01,70450
1962-01-01,70619
1963-01-01,71812
1964-01-01,73077
1965-01-01,74424
1966-01-01,75745
1967-01-01,77348
1968-01-01,78710
1969-01-01,80705
1970-01-01,82796
1971-01-01,84376
1972-01-01,87011
1973-01-01,89411
1974-01-01,91976
1975-01-01,93770
1976-01-01,96151
1977-01-01,98984
1978-01-01,102233
1979-01-01,104961
1980-01-01,106974
1981-01-01,108676
1982-01-01,110244
1983-01-01,111515
1984-01-01,113532
1985-01-01,115467
1986-01-01,117846
1987-01-01,119853
1988-01-01,121671
1989-01-01,123851
1990-01-01,125857
1991-01-01,126352
1992-01-01,128099
1993-01-01,129185
1994-01-01,131047
1995-01-01,132315
1996-01-01,133951
1997-01-01,136301
1998-01-01,137680
1999-01-01,139380
2000-01-01,142586
2001-01-01,143769
2002-01-01,144856
2003-01-01,146500
2004-01-01,147380
2005-01-01,149289
2006-01-01,151409
2007-01-01,153123
2008-01-01,154322
2009-01-01,154189
2010-01-01,153885
2011-01-01,153624
2012-01-01,154974
2013-01-01,155398
2014-01-01,155916
2015-01-01,157134
2016-01-01,159191
2017-01-01,160310
