DATE,LEU0252881600A
1979-01-01,332
1980-01-01,318
1981-01-01,312
1982-01-01,313
1983-01-01,314
1984-01-01,314
1985-01-01,320
1986-01-01,327
1987-01-01,329
1988-01-01,326
1989-01-01,322
1990-01-01,315
1991-01-01,313
1992-01-01,314
1993-01-01,317
1994-01-01,315
1995-01-01,314
1996-01-01,313
1997-01-01,314
1998-01-01,321
1999-01-01,329
2000-01-01,334
2001-01-01,336
2002-01-01,338
2003-01-01,337
2004-01-01,338
2005-01-01,333
2006-01-01,333
2007-01-01,335
2008-01-01,335
2009-01-01,345
2010-01-01,342
2011-01-01,336
2012-01-01,335
2013-01-01,333
2014-01-01,334
2015-01-01,341
2016-01-01,347
2017-01-01,351
